"hostid";"host";"name"
"14207";"CBA-UCS2";"CBA-UCS2"
"16233";"CBA-UCS2-baixa";"CBA-UCS2-baixa"
"16179";"CCH_HL_1";"CCH_HL_1"
"14406";"CCH_HL_RGR";"CCH_HL_RGR"
"13798";"CCH_PRI";"CCH_PRI"
"13931";"CCH_SEC";"CCH_SEC"
"17814";"CCH-1L1CSP";"CCH-1L1CSP"
"17837";"CCH-1L1GAP";"CCH-1L1GAP"
"17834";"CCH-1L1INP";"CCH-1L1INP"
"17815";"CCH-1L2CSP";"CCH-1L2CSP"
"17816";"CCH-1L3CSP";"CCH-1L3CSP"
"17800";"CCH-1LE1P1";"CCH-1LE1P1"
